"Year","Geography","ACS_MFH","ACS_SFH","RLIS_MFH","RLIS_SFH"
"2011","PUMA1301",9557,34543,11558,33970
"2011","PUMA1302",18001,28058,16084,28571
"2011","PUMA1303",14407,31390,13740,33607
"2011","PUMA1304",41338,28663,41546,28220
"2011","PUMA1305",21578,32434,21955,33121
"2011","PUMA1306",19820,32221,20297,29712
"2011","PUMA1307",2472,40118,1239,23605
"2011","PUMA1308",15224,36878,14618,35530
"2011","PUMA1309",10766,39855,10666,37097
"2011","PUMA1310",17160,34439,17337,32511
"2011","PUMA1311",16926,48089,19231,34688
"2011","PUMA1312",12359,40192,13735,36675
"2011","PUMA1313",18540,30408,19409,26690
"2010","PUMA1301",11418,34119,11456,33887
"2010","PUMA1302",15470,29612,15955,28517
"2010","PUMA1303",14390,31821,13718,33568
"2010","PUMA1304",39366,28356,40804,28206
"2010","PUMA1305",20768,33243,21841,33121
"2010","PUMA1306",17759,32915,20054,29680
"2010","PUMA1307",2911,38083,1219,23405
"2010","PUMA1308",16706,36544,14547,35392
"2010","PUMA1309",10169,38570,10652,36905
"2010","PUMA1310",17964,35517,17141,32316
"2010","PUMA1311",17805,43174,19123,34334
"2010","PUMA1312",14073,40170,13642,36441
"2010","PUMA1313",18651,29460,19056,26548
"2009","PUMA1301",11180,31756,NA,33824
"2009","PUMA1302",16103,29613,NA,28457
"2009","PUMA1303",11477,33977,NA,33457
"2009","PUMA1304",36317,29547,NA,28141
"2009","PUMA1305",21298,31966,NA,33093
"2009","PUMA1306",18265,29962,NA,29658
"2009","PUMA1307",2873,38923,NA,23217
"2009","PUMA1308",14780,37368,NA,35312
"2009","PUMA1309",10498,37344,NA,36760
"2009","PUMA1310",18158,34380,NA,32230
"2009","PUMA1311",18125,42539,NA,34063
"2009","PUMA1312",12377,39163,NA,36253
"2009","PUMA1313",19788,28845,NA,26459
"2008","PUMA1301",8544,33333,NA,NA
"2008","PUMA1302",17150,30425,NA,NA
"2008","PUMA1303",12712,33348,NA,NA
"2008","PUMA1304",32100,30500,NA,NA
"2008","PUMA1305",20126,32617,NA,NA
"2008","PUMA1306",18934,31027,NA,NA
"2008","PUMA1307",2177,37630,NA,NA
"2008","PUMA1308",15906,37821,NA,NA
"2008","PUMA1309",10083,37345,NA,NA
"2008","PUMA1310",16488,33565,NA,NA
"2008","PUMA1311",15845,45837,NA,NA
"2008","PUMA1312",12258,39373,NA,NA
"2008","PUMA1313",21261,27222,NA,NA
"2007","PUMA1301",9603,33563,NA,33538
"2007","PUMA1302",11787,30085,NA,28240
"2007","PUMA1303",10627,35351,NA,33220
"2007","PUMA1304",34789,27847,NA,27946
"2007","PUMA1305",20991,32726,NA,32951
"2007","PUMA1306",15507,33426,NA,29252
"2007","PUMA1307",2481,35776,NA,22331
"2007","PUMA1308",15288,36431,NA,34077
"2007","PUMA1309",10294,39327,NA,35856
"2007","PUMA1310",19481,34159,NA,31394
"2007","PUMA1311",19022,38962,NA,33135
"2007","PUMA1312",13584,37115,NA,35286
"2007","PUMA1313",19348,27909,NA,26214
"2006","PUMA1301",NA,NA,NA,33384
"2006","PUMA1302",NA,NA,NA,28156
"2006","PUMA1303",NA,NA,NA,33117
"2006","PUMA1304",NA,NA,NA,27846
"2006","PUMA1305",NA,NA,NA,32934
"2006","PUMA1306",NA,NA,NA,28886
"2006","PUMA1307",NA,NA,NA,21819
"2006","PUMA1308",NA,NA,NA,33152
"2006","PUMA1309",NA,NA,NA,35368
"2006","PUMA1310",NA,NA,NA,30768
"2006","PUMA1311",NA,NA,NA,32208
"2006","PUMA1312",NA,NA,NA,34751
"2006","PUMA1313",NA,NA,NA,25958
"2005","PUMA1301",NA,NA,NA,33128
"2005","PUMA1302",NA,NA,NA,27970
"2005","PUMA1303",NA,NA,NA,32938
"2005","PUMA1304",NA,NA,NA,27638
"2005","PUMA1305",NA,NA,NA,32891
"2005","PUMA1306",NA,NA,NA,28141
"2005","PUMA1307",NA,NA,NA,21766
"2005","PUMA1308",NA,NA,NA,33180
"2005","PUMA1309",NA,NA,NA,35391
"2005","PUMA1310",NA,NA,NA,30119
"2005","PUMA1311",NA,NA,NA,31041
"2005","PUMA1312",NA,NA,NA,33639
"2005","PUMA1313",NA,NA,NA,25617
"2004","PUMA1301",NA,NA,NA,32879
"2004","PUMA1302",NA,NA,NA,27825
"2004","PUMA1303",NA,NA,NA,32736
"2004","PUMA1304",NA,NA,NA,27420
"2004","PUMA1305",NA,NA,NA,32807
"2004","PUMA1306",NA,NA,NA,27757
"2004","PUMA1307",NA,NA,NA,21304
"2004","PUMA1308",NA,NA,NA,32641
"2004","PUMA1309",NA,NA,NA,35105
"2004","PUMA1310",NA,NA,NA,29483
"2004","PUMA1311",NA,NA,NA,29978
"2004","PUMA1312",NA,NA,NA,32537
"2004","PUMA1313",NA,NA,NA,25383
"2003","PUMA1301",NA,NA,NA,33014
"2003","PUMA1302",NA,NA,NA,28120
"2003","PUMA1303",NA,NA,NA,33040
"2003","PUMA1304",NA,NA,NA,27803
"2003","PUMA1305",NA,NA,NA,33628
"2003","PUMA1306",NA,NA,NA,27658
"2003","PUMA1307",NA,NA,NA,20980
"2003","PUMA1308",NA,NA,NA,32203
"2003","PUMA1309",NA,NA,NA,34615
"2003","PUMA1310",NA,NA,NA,28702
"2003","PUMA1311",NA,NA,NA,28977
"2003","PUMA1312",NA,NA,NA,31699
"2003","PUMA1313",NA,NA,NA,25217
"2002","PUMA1301",NA,NA,NA,32814
"2002","PUMA1302",NA,NA,NA,27949
"2002","PUMA1303",NA,NA,NA,32852
"2002","PUMA1304",NA,NA,NA,27803
"2002","PUMA1305",NA,NA,NA,33542
"2002","PUMA1306",NA,NA,NA,26995
"2002","PUMA1307",NA,NA,NA,20707
"2002","PUMA1308",NA,NA,NA,31787
"2002","PUMA1309",NA,NA,NA,34061
"2002","PUMA1310",NA,NA,NA,28137
"2002","PUMA1311",NA,NA,NA,27984
"2002","PUMA1312",NA,NA,NA,30781
